DATE,POILBREUSDM,GDP,Price level,Diff_GDP,Diff_oil,Interest Rate
01/01/1990,21.25,,,0,0,8.23
01/02/1990,19.93,,,0,-1.32,8.24
01/03/1990,18.37,,,0,-1.56,8.28
01/04/1990,16.49,,,0,-1.88,8.26
01/05/1990,16.34,,,0,-0.15,8.18
01/06/1990,15.05,,,0,-1.29,8.29
01/07/1990,17.14,,,0,2.09,8.15
01/08/1990,27.32,,,0,10.18,8.13
01/09/1990,35.03,,,0,7.71,8.2
01/10/1990,36.09,,,0,1.06,8.11
01/11/1990,33.2,,,0,-2.89,7.81
01/12/1990,28.32,,,0,-4.88,7.31
01/01/1991,23.54,,,0,-4.78,6.91
01/02/1991,19.58,,,0,-3.96,6.25
01/03/1991,19.13,,,0,-0.45,6.12
01/04/1991,19.13,,,0,0,5.91
01/05/1991,19.16,,,0,0.03,5.78
01/06/1991,18.08,,,0,-1.08,5.9
01/07/1991,19.42,,,0,1.34,5.82
01/08/1991,19.73,,,0,0.31,5.66
01/09/1991,20.48,,,0,0.75,5.45
01/10/1991,22.25,,,0,1.77,5.21
01/11/1991,21,,,0,-1.25,4.81
01/12/1991,18.28,,,0,-2.72,4.43
01/01/1992,18.55,9486.357,66.57868453,66.57868453,0.27,4.03
01/02/1992,18.48,9527.533,66.71616894,0.13748441,-0.07,4.06
01/03/1992,17.59,9606.143,66.80110163,0.08493269,-0.89,3.98
01/04/1992,19.06,9612.489,67.03002453,0.2289229,1.47,3.73
01/05/1992,20.03,9594.652,67.05803694,0.02801241,0.97,3.82
01/06/1992,21.28,9723.168,67.21111301,0.15307607,1.25,3.76
01/07/1992,20.34,9740.577,67.32181049,0.11069748,-0.94,3.25
01/08/1992,19.77,9720.763,67.44971015,0.12789966,-0.57,3.3
01/09/1992,20.31,9754.881,67.51249062,0.06278047,0.54,3.22
01/10/1992,20.26,9809.7,67.66066092,0.1481703,-0.05,3.1
01/11/1992,19.15,9837.504,67.90598534,0.24532442,-1.11,3.09
01/12/1992,18.15,9873.595,68.10940951,0.20342417,-1,2.92
01/01/1993,17.35,9858.487,68.14153795,0.03212844,-0.8,3.02
01/02/1993,18.48,9874.087,68.27501531,0.13347736,1.13,3.03
01/03/1993,18.75,9837.497,68.40274459,0.12772928,0.27,3.07
01/04/1993,18.63,9876.149,68.53198241,0.12923782,-0.12,2.96
01/05/1993,18.51,9934.509,68.69189292,0.15991051,-0.12,3
01/06/1993,17.59,9931.502,68.81430584,0.12241292,-0.92,3.04
01/07/1993,16.76,9909.866,68.95129889,0.13699305,-0.83,3.06
01/08/1993,16.71,9949.108,69.09134067,0.14004178,-0.05,3.03
01/09/1993,15.99,10025.098,69.21967145,0.12833078,-0.72,3.09
01/10/1993,16.56,10022.884,69.28855596,0.06888451,0.57,2.99
01/11/1993,15.08,10120.829,69.52002177,0.23146581,-1.48,3.02
01/12/1993,13.56,10146.854,69.58314527,0.0631235,-1.52,2.96
01/01/1994,14.22,10146.017,69.72653059,0.14338532,0.66,3.05
01/02/1994,13.75,10202.435,69.81624869,0.0897181,-0.47,3.25
01/03/1994,13.88,10236.04,69.84666794,0.03041925,0.13,3.34
01/04/1994,15.15,10270.568,69.96969968,0.12303174,1.27,3.56
01/05/1994,16.26,10369.544,70.30460136,0.33490168,1.11,4.01
01/06/1994,16.74,10358.794,70.12631697,-0.17828439,0.48,4.25
01/07/1994,17.63,10361.488,70.44390014,0.31758317,0.89,4.26
01/08/1994,16.82,10432.109,70.4720482,0.02814806,-0.81,4.47
01/09/1994,15.85,10386.69,70.6911181,0.2190699,-0.97,4.73
01/10/1994,16.43,10481.833,70.87624823,0.18513013,0.58,4.76
01/11/1994,17.3,10475.696,70.9433396,0.06709137,0.87,5.29
01/12/1994,15.88,10580.271,70.93320626,-0.01013334,-1.42,5.45
01/01/1995,16.55,10582.82,71.26815188,0.33494562,0.67,5.53
01/02/1995,17.14,10506.333,71.2740133,0.00586142,0.59,5.92
01/03/1995,17.02,10560.808,71.36198164,0.08796834,-0.12,5.98
01/04/1995,18.74,10528.381,71.60597106,0.24398942,1.72,6.05
01/05/1995,18.32,10557.831,71.61382086,0.0078498,-0.42,6.01
01/06/1995,17.35,10658.586,71.70909104,0.09527018,-0.97,6
01/07/1995,15.86,10605.777,71.94643428,0.23734324,-1.49,5.85
01/08/1995,16.07,10664.017,71.96275056,0.01631628,0.21,5.74
01/09/1995,16.66,10745.181,72.07674495,0.11399439,0.59,5.8
01/10/1995,16.12,10698.948,72.4127042,0.33595925,-0.54,5.76
01/11/1995,16.88,10717.292,72.29154908,-0.12115512,0.76,5.8
01/12/1995,17.96,10816.67,72.320446,0.02889692,1.08,5.6
01/01/1996,17.94,10794.608,72.63285608,0.31241008,-0.02,5.56
01/02/1996,17.97,10811.185,72.63641023,0.00355415,0.03,5.22
01/03/1996,19.99,10869.255,72.79353319,0.15712296,2.02,5.31
