DATE,Price_level,Diff_GDP,Diff_oil,Interest_Rate
01/01/1900,66.57868453,0,0,4.03
02/01/1900,66.71616894,0.13748441,-0.07,4.06
03/01/1900,66.80110163,0.08493269,-0.89,3.98
04/01/1900,67.03002453,0.2289229,1.47,3.73
05/01/1900,67.05803694,0.02801241,0.97,3.82
06/01/1900,67.21111301,0.15307607,1.25,3.76
07/01/1900,67.32181049,0.11069748,-0.94,3.25
08/01/1900,67.44971015,0.12789966,-0.57,3.3
09/01/1900,67.51249062,0.06278047,0.54,3.22
10/01/1900,67.66066092,0.1481703,-0.05,3.1
11/01/1900,67.90598534,0.24532442,-1.11,3.09
12/01/1900,68.10940951,0.20342417,-1,2.92
13/01/1900,68.14153795,0.03212844,-0.8,3.02
14/01/1900,68.27501531,0.13347736,1.13,3.03
15/01/1900,68.40274459,0.12772928,0.27,3.07
16/01/1900,68.53198241,0.12923782,-0.12,2.96
17/01/1900,68.69189292,0.15991051,-0.12,3
18/01/1900,68.81430584,0.12241292,-0.92,3.04
19/01/1900,68.95129889,0.13699305,-0.83,3.06
20/01/1900,69.09134067,0.14004178,-0.05,3.03
21/01/1900,69.21967145,0.12833078,-0.72,3.09
22/01/1900,69.28855596,0.06888451,0.57,2.99
23/01/1900,69.52002177,0.23146581,-1.48,3.02
24/01/1900,69.58314527,0.0631235,-1.52,2.96
25/01/1900,69.72653059,0.14338532,0.66,3.05
26/01/1900,69.81624869,0.0897181,-0.47,3.25
27/01/1900,69.84666794,0.03041925,0.13,3.34
28/01/1900,69.96969968,0.12303174,1.27,3.56
29/01/1900,70.30460136,0.33490168,1.11,4.01
30/01/1900,70.12631697,-0.17828439,0.48,4.25
31/01/1900,70.44390014,0.31758317,0.89,4.26
01/02/1900,70.4720482,0.02814806,-0.81,4.47
02/02/1900,70.6911181,0.2190699,-0.97,4.73
03/02/1900,70.87624823,0.18513013,0.58,4.76
04/02/1900,70.9433396,0.06709137,0.87,5.29
05/02/1900,70.93320626,-0.01013334,-1.42,5.45
06/02/1900,71.26815188,0.33494562,0.67,5.53
07/02/1900,71.2740133,0.00586142,0.59,5.92
08/02/1900,71.36198164,0.08796834,-0.12,5.98
09/02/1900,71.60597106,0.24398942,1.72,6.05
10/02/1900,71.61382086,0.0078498,-0.42,6.01
11/02/1900,71.70909104,0.09527018,-0.97,6
12/02/1900,71.94643428,0.23734324,-1.49,5.85
13/02/1900,71.96275056,0.01631628,0.21,5.74
14/02/1900,72.07674495,0.11399439,0.59,5.8
15/02/1900,72.4127042,0.33595925,-0.54,5.76
16/02/1900,72.29154908,-0.12115512,0.76,5.8
17/02/1900,72.320446,0.02889692,1.08,5.6
18/02/1900,72.63285608,0.31241008,-0.02,5.56
19/02/1900,72.63641023,0.00355415,0.03,5.22
20/02/1900,72.79353319,0.15712296,2.02,5.31
21/02/1900,72.86896334,0.07543015,1.02,5.22
22/02/1900,72.96585321,0.09688987,-1.86,5.24
23/02/1900,73.13174105,0.16588784,-0.88,5.27
24/02/1900,73.18098763,0.04924658,1.34,5.4
25/02/1900,73.18046571,-0.00052192,0.35,5.22
26/02/1900,73.32436453,0.14389882,2.1,5.3
27/02/1900,73.54198589,0.21762136,1.62,5.24
28/02/1900,73.67289586,0.13090997,-1.4,5.31
29/02/1900,73.64647701,-0.02641885,1.24,5.29
01/03/1900,73.76967564,0.12319863,-0.05,5.25
02/03/1900,73.92541334,0.1557377,-2.64,5.19
03/03/1900,74.4841188,0.55870546,-1.62,5.39
04/03/1900,73.89470036,-0.58941844,-1.74,5.51
05/03/1900,74.29296393,0.39826357,1.67,5.5
06/03/1900,74.44103101,0.14806708,-1.59,5.56
07/03/1900,74.29899875,-0.14203226,0.88,5.52
